epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.654,1.04073,2.50865,1.39803,0.6867,0.564,0.62985,0.35985,1.34969,1.90713,1.66477,0.00332737,0.00332737,0.00332737
2,289.782,1.01973,1.7073,1.35131,0.6336,0.45493,0.529,0.30121,1.56344,1.87661,1.86651,0.00659476,0.00659476,0.00659476
3,429.769,1.12623,1.62927,1.44283,0.59009,0.41253,0.44707,0.24347,1.7565,2.10132,2.20439,0.00979616,0.00979616,0.00979616
4,569.575,1.19046,1.61491,1.5034,0.6172,0.45378,0.51265,0.32401,1.53954,1.80231,1.90431,0.009703,0.009703,0.009703
5,709.621,1.12709,1.45262,1.44813,0.61029,0.49369,0.5414,0.34612,1.42951,1.63434,1.82001,0.009604,0.009604,0.009604
6,849.632,1.08381,1.33897,1.41548,0.70117,0.52687,0.60843,0.36289,1.45285,1.52989,1.74506,0.009505,0.009505,0.009505
7,989.644,1.03049,1.236,1.37444,0.73261,0.60672,0.69537,0.43885,1.35325,1.2655,1.71391,0.009406,0.009406,0.009406
8,1129.38,1.01808,1.18764,1.36398,0.79926,0.6356,0.72484,0.46127,1.30758,1.24947,1.6534,0.009307,0.009307,0.009307
9,1269.29,0.99342,1.14405,1.33947,0.80483,0.64284,0.74718,0.48062,1.27483,1.19511,1.61116,0.009208,0.009208,0.009208
10,1409.4,0.97478,1.09199,1.32316,0.78669,0.70171,0.78627,0.50472,1.24396,1.08829,1.57966,0.009109,0.009109,0.009109
11,1549.32,0.9448,1.05127,1.30189,0.80173,0.65954,0.76434,0.47552,1.27455,1.12979,1.58152,0.00901,0.00901,0.00901
12,1689.3,0.93062,1.00912,1.29183,0.80138,0.71362,0.80385,0.51844,1.23224,1.03734,1.54984,0.008911,0.008911,0.008911
13,1829.19,0.91946,0.98852,1.27806,0.86798,0.67782,0.82399,0.54329,1.17684,0.9811,1.5312,0.008812,0.008812,0.008812
14,1969.08,0.90677,0.96516,1.27012,0.87162,0.71355,0.83748,0.55174,1.18196,0.9445,1.51135,0.008713,0.008713,0.008713
15,2108.93,0.89103,0.93646,1.26121,0.84688,0.75679,0.84362,0.56856,1.12996,0.94046,1.46487,0.008614,0.008614,0.008614
16,2248.76,0.8877,0.92437,1.25807,0.83725,0.75699,0.8466,0.56086,1.15564,0.89097,1.47737,0.008515,0.008515,0.008515
17,2388.38,0.87015,0.90186,1.24599,0.82071,0.75861,0.85222,0.57635,1.13436,0.8927,1.4529,0.008416,0.008416,0.008416
18,2528.1,0.86832,0.89047,1.24375,0.86291,0.77924,0.86817,0.58093,1.11997,0.85584,1.43992,0.008317,0.008317,0.008317
19,2667.81,0.86384,0.8824,1.23928,0.88737,0.75805,0.87439,0.59276,1.10766,0.84161,1.43835,0.008218,0.008218,0.008218
20,2807.56,0.8487,0.85937,1.23088,0.86091,0.79072,0.87583,0.59507,1.08619,0.84238,1.40418,0.008119,0.008119,0.008119
21,2947.43,0.84592,0.84128,1.22917,0.86473,0.78335,0.87076,0.59745,1.08651,0.83678,1.40876,0.00802,0.00802,0.00802
22,3087.22,0.8303,0.82595,1.21376,0.84962,0.80188,0.87772,0.59747,1.09192,0.80623,1.41315,0.007921,0.007921,0.007921
23,3226.85,0.82254,0.80506,1.20757,0.89005,0.81267,0.89765,0.61158,1.09229,0.77497,1.40183,0.007822,0.007822,0.007822
24,3366.49,0.8129,0.7925,1.19732,0.85916,0.80526,0.88895,0.60582,1.08101,0.77994,1.40086,0.007723,0.007723,0.007723
25,3506.28,0.81291,0.78057,1.19819,0.90665,0.79282,0.89532,0.61863,1.07898,0.77307,1.39726,0.007624,0.007624,0.007624
26,3646.16,0.80395,0.77984,1.19533,0.91502,0.80073,0.89964,0.62247,1.06389,0.75075,1.37682,0.007525,0.007525,0.007525
27,3786.08,0.80259,0.77508,1.19617,0.89895,0.81956,0.90233,0.63146,1.0477,0.74096,1.36613,0.007426,0.007426,0.007426
28,3925.9,0.79396,0.75349,1.18808,0.89081,0.83188,0.90712,0.6338,1.0474,0.71217,1.35883,0.007327,0.007327,0.007327
29,4065.7,0.79067,0.74575,1.18185,0.90242,0.79841,0.89381,0.6285,1.04738,0.73916,1.37314,0.007228,0.007228,0.007228
30,4205.01,0.78309,0.74708,1.18651,0.89516,0.82307,0.90723,0.63055,1.05457,0.72766,1.37531,0.007129,0.007129,0.007129
31,4344.74,0.78667,0.73669,1.17779,0.90196,0.83938,0.9119,0.64265,1.05544,0.7083,1.37006,0.00703,0.00703,0.00703
32,4484.65,0.77419,0.72266,1.17217,0.90498,0.82419,0.90607,0.64301,1.01902,0.6962,1.34673,0.006931,0.006931,0.006931
33,4624.32,0.76999,0.71614,1.1658,0.91534,0.84947,0.92056,0.64855,1.01796,0.68508,1.34235,0.006832,0.006832,0.006832
34,4764.07,0.76384,0.70288,1.16535,0.91966,0.83781,0.91766,0.64829,1.02018,0.66543,1.33409,0.006733,0.006733,0.006733
35,4909.24,0.7612,0.69289,1.16123,0.92172,0.85114,0.92719,0.65653,1.01342,0.65028,1.33577,0.006634,0.006634,0.006634
36,5050.05,0.75532,0.68961,1.15975,0.91697,0.83767,0.91633,0.64369,1.02169,0.68875,1.34128,0.006535,0.006535,0.006535
37,5189.84,0.76282,0.69602,1.16296,0.92513,0.8416,0.91771,0.65107,1.0205,0.66913,1.33628,0.006436,0.006436,0.006436
38,5329.6,0.74396,0.67709,1.15179,0.93672,0.84839,0.92096,0.65699,1.00378,0.65169,1.3183,0.006337,0.006337,0.006337
39,5469.62,0.74561,0.67918,1.15152,0.92369,0.84226,0.92656,0.66245,0.99714,0.6493,1.32042,0.006238,0.006238,0.006238
40,5609.31,0.74947,0.67759,1.15387,0.9011,0.84779,0.92045,0.65022,1.01744,0.65486,1.34113,0.006139,0.006139,0.006139
41,5749.23,0.72744,0.65932,1.14204,0.92244,0.85102,0.92617,0.65674,1.00717,0.65085,1.33329,0.00604,0.00604,0.00604
42,5889.29,0.72604,0.64967,1.14042,0.92536,0.84529,0.92269,0.66659,1.01041,0.65884,1.31664,0.005941,0.005941,0.005941
43,6029.28,0.73758,0.65326,1.14653,0.90886,0.86834,0.93202,0.66872,1.00516,0.63916,1.32268,0.005842,0.005842,0.005842
44,6169.3,0.72209,0.63477,1.13674,0.92511,0.8572,0.92862,0.66606,0.9964,0.62964,1.31463,0.005743,0.005743,0.005743
45,6309.37,0.71784,0.63871,1.13474,0.9293,0.83971,0.9265,0.6714,0.98426,0.62999,1.30594,0.005644,0.005644,0.005644
46,6454.06,0.71257,0.63573,1.13175,0.91421,0.86507,0.9296,0.66962,0.98856,0.61698,1.30342,0.005545,0.005545,0.005545
47,6594.04,0.7122,0.62532,1.13128,0.92054,0.85702,0.9311,0.67338,0.9819,0.60545,1.30826,0.005446,0.005446,0.005446
48,6733.95,0.7121,0.62083,1.12772,0.90935,0.86848,0.92793,0.67049,0.97773,0.61823,1.29928,0.005347,0.005347,0.005347
49,6873.79,0.70641,0.61511,1.12333,0.93176,0.85435,0.92877,0.67112,0.98814,0.61548,1.3064,0.005248,0.005248,0.005248
50,7013.54,0.70152,0.61494,1.12834,0.93019,0.86096,0.92821,0.67275,0.98953,0.61467,1.31423,0.005149,0.005149,0.005149
51,7153.36,0.6982,0.60399,1.11895,0.93669,0.86538,0.93367,0.67552,1.00873,0.61892,1.32296,0.00505,0.00505,0.00505
52,7293.21,0.69611,0.6053,1.1167,0.95592,0.84832,0.93613,0.67782,0.98139,0.60851,1.30558,0.004951,0.004951,0.004951
53,7433.03,0.69701,0.60109,1.11717,0.92409,0.87039,0.93251,0.67951,0.99062,0.58968,1.31304,0.004852,0.004852,0.004852
54,7572.86,0.68923,0.59175,1.11406,0.92229,0.8753,0.93851,0.67951,0.98352,0.58781,1.30598,0.004753,0.004753,0.004753
55,7712.72,0.6865,0.58419,1.11306,0.92589,0.86749,0.93383,0.68074,0.97462,0.58833,1.30372,0.004654,0.004654,0.004654
56,7852.6,0.67845,0.58076,1.10724,0.94111,0.85222,0.93182,0.67978,0.96973,0.59411,1.29641,0.004555,0.004555,0.004555
57,7992.46,0.67668,0.57422,1.10553,0.93565,0.86806,0.93722,0.68342,0.97228,0.59028,1.29594,0.004456,0.004456,0.004456
58,8132.4,0.6736,0.57164,1.10433,0.91479,0.88426,0.93637,0.68187,0.9635,0.5836,1.2909,0.004357,0.004357,0.004357
59,8272.15,0.66742,0.56571,1.09602,0.93029,0.86453,0.93254,0.68435,0.96018,0.58112,1.29156,0.004258,0.004258,0.004258
60,8412.09,0.67281,0.56449,1.10091,0.94111,0.86326,0.93698,0.68671,0.96166,0.58583,1.29323,0.004159,0.004159,0.004159
61,8552.02,0.66187,0.55847,1.09957,0.90958,0.87849,0.93678,0.68311,0.96804,0.58101,1.29791,0.00406,0.00406,0.00406
62,8691.88,0.66099,0.55249,1.09202,0.93664,0.86689,0.93531,0.68966,0.962,0.5688,1.29458,0.003961,0.003961,0.003961
63,8831.66,0.65735,0.552,1.08949,0.93343,0.86392,0.93773,0.69002,0.95224,0.55769,1.28476,0.003862,0.003862,0.003862
64,8971.47,0.65656,0.54816,1.09045,0.92335,0.8846,0.94014,0.69034,0.95429,0.56792,1.28698,0.003763,0.003763,0.003763
65,9111.3,0.65075,0.53793,1.08776,0.95502,0.86119,0.93938,0.69208,0.95067,0.56083,1.28602,0.003664,0.003664,0.003664
66,9251.05,0.65118,0.54004,1.09027,0.93823,0.86917,0.93825,0.6893,0.95267,0.56233,1.29281,0.003565,0.003565,0.003565
67,9390.84,0.64299,0.52922,1.08567,0.93524,0.8772,0.94007,0.68925,0.96092,0.57021,1.29248,0.003466,0.003466,0.003466
68,9530.7,0.64377,0.53097,1.08118,0.93652,0.8691,0.94061,0.69066,0.96406,0.56515,1.29683,0.003367,0.003367,0.003367
69,9670.54,0.64179,0.52698,1.08184,0.93991,0.8706,0.93979,0.6876,0.97663,0.56588,1.30691,0.003268,0.003268,0.003268
70,9810.37,0.63631,0.51995,1.0765,0.93962,0.86576,0.94106,0.68983,0.96117,0.55706,1.29825,0.003169,0.003169,0.003169
71,9950.26,0.63819,0.52271,1.08112,0.94867,0.86362,0.94066,0.69162,0.95634,0.55206,1.29158,0.00307,0.00307,0.00307
72,10090,0.62381,0.50788,1.07159,0.9475,0.86503,0.94177,0.69045,0.95706,0.55305,1.29624,0.002971,0.002971,0.002971
73,10229.7,0.62375,0.50495,1.07228,0.95984,0.85513,0.94118,0.69547,0.96485,0.56028,1.2922,0.002872,0.002872,0.002872
74,10369.6,0.62418,0.50395,1.06959,0.93347,0.88727,0.94457,0.69394,0.96959,0.5545,1.29659,0.002773,0.002773,0.002773
75,10509.4,0.61056,0.49674,1.06475,0.94081,0.87592,0.94167,0.69369,0.96256,0.55505,1.28865,0.002674,0.002674,0.002674
76,10649.8,0.61311,0.49366,1.06455,0.94011,0.87767,0.94366,0.6943,0.96167,0.55241,1.28694,0.002575,0.002575,0.002575
77,10790.5,0.61187,0.49008,1.06419,0.92816,0.88411,0.94508,0.6955,0.96192,0.54783,1.28921,0.002476,0.002476,0.002476
78,10930.3,0.60127,0.48126,1.06236,0.93173,0.88274,0.94495,0.69752,0.96791,0.54915,1.29318,0.002377,0.002377,0.002377
79,11070,0.60285,0.47862,1.06037,0.924,0.89412,0.94394,0.69835,0.96881,0.54907,1.29545,0.002278,0.002278,0.002278
80,11209.9,0.60211,0.48014,1.06058,0.92571,0.88686,0.94279,0.69765,0.96716,0.54993,1.29445,0.002179,0.002179,0.002179
81,11349.8,0.59374,0.47458,1.05409,0.94057,0.88398,0.94689,0.70023,0.96625,0.54753,1.29467,0.00208,0.00208,0.00208
82,11489.7,0.59696,0.47289,1.05853,0.94738,0.87978,0.94533,0.69984,0.96553,0.5428,1.29898,0.001981,0.001981,0.001981
83,11629.5,0.58861,0.46409,1.05266,0.93434,0.89074,0.94523,0.70053,0.96155,0.54478,1.29748,0.001882,0.001882,0.001882
84,11769.3,0.58583,0.45868,1.0531,0.93797,0.8948,0.94582,0.70213,0.96388,0.5469,1.29775,0.001783,0.001783,0.001783
85,11909.1,0.58135,0.45736,1.04502,0.94355,0.88441,0.94419,0.70124,0.96461,0.54889,1.29925,0.001684,0.001684,0.001684
86,12049,0.57929,0.45608,1.04601,0.94885,0.87812,0.94429,0.70065,0.96356,0.54679,1.29666,0.001585,0.001585,0.001585
87,12188.8,0.57434,0.4477,1.04181,0.95267,0.87782,0.94406,0.70256,0.96635,0.54399,1.29804,0.001486,0.001486,0.001486
88,12328.6,0.5763,0.44768,1.04078,0.95337,0.87777,0.94338,0.70273,0.96661,0.54676,1.29952,0.001387,0.001387,0.001387
89,12468.4,0.5766,0.44771,1.04537,0.95346,0.87321,0.94295,0.7008,0.964,0.54817,1.29746,0.001288,0.001288,0.001288
90,12608.2,0.56781,0.44526,1.03907,0.95343,0.87131,0.94442,0.70153,0.96274,0.55202,1.29864,0.001189,0.001189,0.001189
91,12748.3,0.50742,0.31771,0.99023,0.93822,0.8846,0.94261,0.7008,0.962,0.55039,1.30045,0.00109,0.00109,0.00109
92,12887.3,0.49529,0.29986,0.97477,0.93068,0.89137,0.94123,0.70051,0.96302,0.55088,1.30465,0.000991,0.000991,0.000991
93,13026.3,0.4861,0.28945,0.97097,0.93877,0.88504,0.94298,0.69975,0.96285,0.55041,1.30527,0.000892,0.000892,0.000892
94,13165.3,0.47656,0.28566,0.97023,0.93746,0.88733,0.94213,0.69878,0.96441,0.55215,1.30721,0.000793,0.000793,0.000793
95,13304.7,0.47054,0.28013,0.96013,0.93845,0.88744,0.94289,0.69953,0.965,0.55188,1.30988,0.000694,0.000694,0.000694
96,13443.7,0.46712,0.27904,0.9615,0.9379,0.88378,0.94275,0.69919,0.96588,0.55065,1.31276,0.000595,0.000595,0.000595
97,13582.9,0.46222,0.27211,0.95429,0.93841,0.88336,0.94008,0.70074,0.96359,0.55128,1.31184,0.000496,0.000496,0.000496
98,13722.1,0.45626,0.2701,0.95376,0.942,0.88194,0.94139,0.70161,0.96409,0.55195,1.31411,0.000397,0.000397,0.000397
99,13861.2,0.45271,0.26579,0.95318,0.94565,0.87605,0.94092,0.70111,0.96232,0.55262,1.31413,0.000298,0.000298,0.000298
100,14000.4,0.44686,0.26173,0.94756,0.9491,0.87887,0.94221,0.69969,0.96235,0.55515,1.31479,0.000199,0.000199,0.000199
